00007ff841d5a4a8 (__DATA,__common) non-external (was a private external) ___popen_pidlist
00007ff841d577b0 (__DATA,__data) non-external (was a private external) ___popen_pidlist_mutex
00007ff8002b01d6 (__TEXT,__text) external ___pow5mult_D2A
00007ff800320140 (__TEXT,__const) non-external ___pow5mult_D2A.p05
00007ff80031081f (__TEXT,__text) non-external (was a private external) ___printf_arginfo_chr
00007ff80031df72 (__TEXT,__text) non-external ___printf_arginfo_chr.cold.1
00007ff80030f693 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_errno
00007ff80031ddf0 (__TEXT,__text) non-external ___printf_arginfo_errno.cold.1
00007ff80030f780 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_float
00007ff80031de14 (__TEXT,__text) non-external ___printf_arginfo_float.cold.1
00007ff800310248 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_hexdump
00007ff80031de5a (__TEXT,__text) non-external ___printf_arginfo_hexdump.cold.1
00007ff8002d0506 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_int
00007ff80031de7b (__TEXT,__text) non-external ___printf_arginfo_int.cold.1
00007ff800310e62 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_n
00007ff80031dfe4 (__TEXT,__text) non-external ___printf_arginfo_n.cold.1
00007ff800310e44 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_pct
00007ff8003104d2 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_ptr
00007ff80031defe (__TEXT,__text) non-external ___printf_arginfo_ptr.cold.1
00007ff800310577 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_quote
00007ff80031df21 (__TEXT,__text) non-external ___printf_arginfo_quote.cold.1
00007ff8002d04d0 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_str
00007ff80031df51 (__TEXT,__text) non-external ___printf_arginfo_str.cold.1
00007ff800310971 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_time
00007ff80031dfa0 (__TEXT,__text) non-external ___printf_arginfo_time.cold.1
00007ff800310cb6 (__TEXT,__text) non-external (was a private external) ___printf_arginfo_vis
00007ff80031dfc1 (__TEXT,__text) non-external ___printf_arginfo_vis.cold.1
00007ff8002cfbdb (__TEXT,__text) non-external (was a private external) ___printf_comp
00007ff8002d0587 (__TEXT,__text) non-external (was a private external) ___printf_exec
00007ff8002d14d0 (__TEXT,__text) non-external (was a private external) ___printf_flush
00007ff8002fe41f (__TEXT,__text) non-external (was a private external) ___printf_is_memory_read_only
00007ff8002d0cf2 (__TEXT,__text) non-external (was a private external) ___printf_out
00007ff800310dd1 (__TEXT,__text) non-external (was a private external) ___printf_pad
00007ff8002d09ef (__TEXT,__text) non-external (was a private external) ___printf_puts
00007ff800310862 (__TEXT,__text) non-external (was a private external) ___printf_render_chr
00007ff80030f6b2 (__TEXT,__text) non-external (was a private external) ___printf_render_errno
00007ff80030f7bc (__TEXT,__text) non-external (was a private external) ___printf_render_float
00007ff80031de37 (__TEXT,__text) non-external ___printf_render_float.cold.1
00007ff80031026f (__TEXT,__text) non-external (was a private external) ___printf_render_hexdump
00007ff8002d0d80 (__TEXT,__text) non-external (was a private external) ___printf_render_int
00007ff80031de9e (__TEXT,__text) non-external ___printf_render_int.cold.1
00007ff80031dedb (__TEXT,__text) non-external ___printf_render_int.cold.2
00007ff800310e81 (__TEXT,__text) non-external (was a private external) ___printf_render_n
00007ff800310e4c (__TEXT,__text) non-external (was a private external) ___printf_render_pct
00007ff8003104ff (__TEXT,__text) non-external (was a private external) ___printf_render_ptr
00007ff800310596 (__TEXT,__text) non-external (was a private external) ___printf_render_quote
00007ff8002d0a66 (__TEXT,__text) non-external (was a private external) ___printf_render_str
00007ff800310990 (__TEXT,__text) non-external (was a private external) ___printf_render_time
00007ff800310cd5 (__TEXT,__text) non-external (was a private external) ___printf_render_vis
00007ff8002c8da0 (__TEXT,__text) non-external (was a private external) ___private_getcwd
00007ff843acefd0 (__DATA_DIRTY,__bss) non-external ___progname_pointer
                 (undefined) external ___pthread_workqueue_setkill (from libsystem_pthread)
00007ff8002e8983 (__TEXT,__text) external ___put_page
00007ff8003209ff (__TEXT,__const) non-external (was a private external) ___puts_null__
00007ff800311e6e (__TEXT,__text) non-external (was a private external) ___pututxline
00007ff8002b2a07 (__TEXT,__text) external ___quorem_D2A
00007ff8002c692d (__TEXT,__text) external ___ratio_D2A
00007ff8002e9578 (__TEXT,__text) external ___rec_close
00007ff8002e9883 (__TEXT,__text) external ___rec_delete
00007ff8002e998f (__TEXT,__text) external ___rec_dleaf
00007ff8002ea305 (__TEXT,__text) external ___rec_fd
00007ff8002e9de2 (__TEXT,__text) external ___rec_fmap
00007ff8002e9b83 (__TEXT,__text) external ___rec_fpipe
00007ff8002e9a93 (__TEXT,__text) external ___rec_get
00007ff8002ea610 (__TEXT,__text) external ___rec_iput
00007ff8002e9fba (__TEXT,__text) external ___rec_open
00007ff8002ea354 (__TEXT,__text) external ___rec_put
00007ff8002eaba8 (__TEXT,__text) external ___rec_ret
00007ff8002ea848 (__TEXT,__text) external ___rec_search
00007ff8002ea9f0 (__TEXT,__text) external ___rec_seq
00007ff8002e9634 (__TEXT,__text) external ___rec_sync
00007ff8002e9f03 (__TEXT,__text) external ___rec_vmap
00007ff8002e9cb1 (__TEXT,__text) external ___rec_vpipe
