00007ff800417f59 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800417156 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff80041745d (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800417d9c (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff80041635d (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff8003f9920 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800416722 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff8003f992c (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800415d52 (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800416449 (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800415ea3 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff8003fcba2 (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff8003f9b0c (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff8003fbb62 (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff8004035e5 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800416637 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800416908 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff80041798f (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800416e87 (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800417aa3 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800417cb0 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800400dca (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff8003f9b00 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff8004178a7 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff8003f9a28 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff80041e86e (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800418312 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff8003f98c0 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800418440 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff8003f98d8 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff8003fab0d (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff8003f98fc (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800418528 (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff8003f98f0 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff8004191c7 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff8003f98cc (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800418704 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800418dc9 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff8004195f6 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff80042228d (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00007ff800416c82 (__TEXT,__text) external __kernelrpc_task_set_port_space
00007ff8003fdb94 (__TEXT,__text) external __kernelrpc_thread_policy
00007ff8003fe8ee (__TEXT,__text) external __kernelrpc_thread_policy_set
00007ff800420632 (__TEXT,__text) external __kernelrpc_thread_set_policy
00007ff8004038be (__TEXT,__text) external __kernelrpc_vm_map
00007ff800421858 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00007ff800401485 (__TEXT,__text) external __kernelrpc_vm_read
00007ff8003fb80e (__TEXT,__text) external __kernelrpc_vm_remap
00007ff800421983 (__TEXT,__text) external __kernelrpc_vm_remap_new
00007ff800405887 (__TEXT,__text) non-external __libkernel_bzero
00007ff8438f6b50 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00007ff84002efb0 (__DATA_CONST,__const) non-external __libkernel_generic_string_functions
00007ff800405910 (__TEXT,__text) non-external __libkernel_memmove
00007ff800405891 (__TEXT,__text) non-external __libkernel_memset
00007ff800405866 (__TEXT,__text) non-external __libkernel_strchr
00007ff8003fe50c (__TEXT,__text) non-external __libkernel_strcmp
00007ff800405ca6 (__TEXT,__text) non-external __libkernel_strcpy
00007ff8438f64a0 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
00007ff800406519 (__TEXT,__text) non-external __libkernel_strlcpy
00007ff80040569b (__TEXT,__text) non-external __libkernel_strlen
00007ff8438f64a8 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00007ff800422990 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
00007ff800407899 (__TEXT,__text) non-external __mach_continuous_time
00007ff840030980 (__DATA_CONST,__const) external __mach_errors
00007ff800407d5b (__TEXT,__text) external __mach_fork_child
00007ff8004084e2 (__TEXT,__text) external __mach_snprintf
00007ff800408360 (__TEXT,__text) external __mach_vsnprintf
00007ff8438f6500 (__DATA_DIRTY,__common) external __os_alloc_once_table
00007ff841bbc8e0 (__DATA,__common) external __os_xbs_chrooted
00007ff8003fee73 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
00007ff800405cce (__TEXT,__text) non-external __posix_spawn_with_filter
00007ff8004097cf (__TEXT,__text) external __register_gethostuuid_callback
00007ff800405a59 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
00007ff800405ad5 (__TEXT,__text) non-external __system_version_compat_open_shim
00007ff8438f6b68 (__DATA_DIRTY,__bss) non-external __task_reply_port
00007ff800405670 (__TEXT,__text) external __thread_set_tsd_base
00007ff8004227ee (__TEXT,__text) non-external _abort
00007ff800422812 (__TEXT,__text) non-external _abort.561
00007ff800422836 (__TEXT,__text) non-external _abort.563
00007ff800422859 (__TEXT,__text) non-external _abort.586
00007ff80042290b (__TEXT,__text) external _abort_with_payload
00007ff800422890 (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00007ff80042287d (__TEXT,__text) external _abort_with_reason
00007ff800400854 (__TEXT,__text) external _accept
00007ff800404150 (__TEXT,__text) external _accept$NOCANCEL
00007ff8003fa21c (__TEXT,__text) external _access
00007ff800404168 (__TEXT,__text) external _accessx_np
00007ff800404b50 (__TEXT,__text) external _acct
00007ff80041f48c (__TEXT,__text) external _act_get_state
00007ff80041f662 (__TEXT,__text) external _act_set_state
00007ff800404b68 (__TEXT,__text) external _adjtime
00007ff800404b80 (__TEXT,__text) external _aio_cancel
00007ff800404b98 (__TEXT,__text) external _aio_error
00007ff800404bb0 (__TEXT,__text) external _aio_fsync
00007ff800404bc8 (__TEXT,__text) external _aio_read
00007ff800404be0 (__TEXT,__text) external _aio_return
00007ff800404bf8 (__TEXT,__text) external _aio_suspend
00007ff800404180 (__TEXT,__text) external _aio_suspend$NOCANCEL
00007ff800404c10 (__TEXT,__text) external _aio_write
00007ff800404c28 (__TEXT,__text) external _audit
00007ff80040311c (__TEXT,__text) external _audit_session_join
00007ff800402fb4 (__TEXT,__text) external _audit_session_port
00007ff8003fcd68 (__TEXT,__text) external _audit_session_self
00007ff800404c40 (__TEXT,__text) external _auditctl
00007ff8004015f4 (__TEXT,__text) external _auditon
00007ff8003ffd50 (__TEXT,__text) external _bind
00007ff8438f64b4 (__DATA_DIRTY,__common) external _bootstrap_port
00007ff8003faecd (__TEXT,__text) external _cerror
00007ff8003fa1c4 (__TEXT,__text) external _cerror_nocancel
00007ff8003fccf4 (__TEXT,__text) external _change_fdguard_np
00007ff8003fafac (__TEXT,__text) external _chdir
00007ff800400314 (__TEXT,__text) external _chflags
00007ff8003fc8f1 (__TEXT,__text) external _chmod
00007ff8003ffd38 (__TEXT,__text) external _chown
00007ff800404c58 (__TEXT,__text) external _chroot
00007ff80041183b (__TEXT,__text) external _clock_alarm
00007ff800411653 (__TEXT,__text) external _clock_alarm_reply
00007ff8004116b6 (__TEXT,__text) external _clock_get_attributes
00007ff8003fdf42 (__TEXT,__text) external _clock_get_time
00007ff80041152b (__TEXT,__text) external _clock_set_attributes
00007ff800411447 (__TEXT,__text) external _clock_set_time
00007ff800403825 (__TEXT,__text) external _clock_sleep
00007ff8003f9adc (__TEXT,__text) external _clock_sleep_trap
00007ff800401bcd (__TEXT,__text) external _clonefile
