00007ffa1849da77 (__TEXT,__text) external _glGetHistogram
00007ffa1849da9e (__TEXT,__text) external _glGetHistogramParameterfv
00007ffa1849dac0 (__TEXT,__text) external _glGetHistogramParameteriv
00007ffa184a337c (__TEXT,__text) external _glGetInfoLogARB
00007ffa184a05a8 (__TEXT,__text) external _glGetInteger64i_v
00007ffa184a04b9 (__TEXT,__text) external _glGetInteger64v
00007ffa184a40c1 (__TEXT,__text) external _glGetIntegerIndexedvEXT
00007ffa1849fa59 (__TEXT,__text) external _glGetIntegeri_v
00007ffa1849b9e1 (__TEXT,__text) external _glGetIntegerv
00007ffa184a3718 (__TEXT,__text) external _glGetInternalformativ
00007ffa1849ba00 (__TEXT,__text) external _glGetLightfv
00007ffa1849ba22 (__TEXT,__text) external _glGetLightiv
00007ffa1849ba44 (__TEXT,__text) external _glGetMapdv
00007ffa1849ba66 (__TEXT,__text) external _glGetMapfv
00007ffa1849ba88 (__TEXT,__text) external _glGetMapiv
00007ffa1849baaa (__TEXT,__text) external _glGetMaterialfv
00007ffa1849bacc (__TEXT,__text) external _glGetMaterialiv
00007ffa1849dae2 (__TEXT,__text) external _glGetMinmax
00007ffa1849db09 (__TEXT,__text) external _glGetMinmaxParameterfv
00007ffa1849db2b (__TEXT,__text) external _glGetMinmaxParameteriv
00007ffa184a0568 (__TEXT,__text) external _glGetMultisamplefv
00007ffa184a36cb (__TEXT,__text) external _glGetNamedStringARB
00007ffa184a36f3 (__TEXT,__text) external _glGetNamedStringivARB
00007ffa184a479f (__TEXT,__text) external _glGetObjectLabelEXT
00007ffa184a3336 (__TEXT,__text) external _glGetObjectParameterfvARB
00007ffa184a4caf (__TEXT,__text) external _glGetObjectParameterivAPPLE
00007ffa184a3359 (__TEXT,__text) external _glGetObjectParameterivARB
00007ffa1849baee (__TEXT,__text) external _glGetPixelMapfv
00007ffa1849bb0d (__TEXT,__text) external _glGetPixelMapuiv
00007ffa1849bb2c (__TEXT,__text) external _glGetPixelMapusv
00007ffa1849bb4b (__TEXT,__text) external _glGetPointerv
00007ffa1849bb6a (__TEXT,__text) external _glGetPolygonStipple
