00000001803b0584 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00000001803b1974 (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00000001803b0c1c (__TEXT,__text) external __kernelrpc_mach_port_space_info
00000001803b1ac8 (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00000001803b1d44 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
000000018039685c (__TEXT,__text) external __kernelrpc_mach_port_type
000000018038de04 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00000001803b1854 (__TEXT,__text) external __kernelrpc_mach_port_unguard
000000018038dd2c (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00000001803b9ec4 (__TEXT,__text) external __kernelrpc_mach_task_is_self
00000001803b2540 (__TEXT,__text) external __kernelrpc_mach_vm_allocate
000000018038dbc4 (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00000001803b269c (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
000000018038dbdc (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
000000018038f150 (__TEXT,__text) external __kernelrpc_mach_vm_map
000000018038dc00 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00000001803b27bc (__TEXT,__text) external __kernelrpc_mach_vm_protect
000000018038dbf4 (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00000001803b3698 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
000000018038dbd0 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00000001803b2a04 (__TEXT,__text) external __kernelrpc_mach_vm_read
00000001803b31f8 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00000001803b3b3c (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00000001803be660 (__TEXT,__text) external __kernelrpc_mach_voucher_extract_attr_recipe
00000001803b09a4 (__TEXT,__text) external __kernelrpc_task_set_port_space
0000000180392f84 (__TEXT,__text) external __kernelrpc_thread_policy
000000018039407c (__TEXT,__text) external __kernelrpc_thread_policy_set
00000001803bc4c4 (__TEXT,__text) external __kernelrpc_thread_set_policy
0000000180399c6c (__TEXT,__text) external __kernelrpc_vm_map
00000001803bda14 (__TEXT,__text) external __kernelrpc_vm_purgable_control
00000001803970e8 (__TEXT,__text) external __kernelrpc_vm_read
0000000180390338 (__TEXT,__text) external __kernelrpc_vm_remap
00000001803bdb6c (__TEXT,__text) external __kernelrpc_vm_remap_new
000000018039d0d8 (__TEXT,__text) non-external __libkernel_bzero
00000001db73e598 (__DATA_DIRTY,__bss) non-external __libkernel_functions
00000001dd1555c8 (__AUTH_CONST,__const) non-external __libkernel_generic_string_functions
000000018039d16c (__TEXT,__text) non-external __libkernel_memmove
000000018039d0e4 (__TEXT,__text) non-external __libkernel_memset
000000018039d0a0 (__TEXT,__text) non-external __libkernel_strchr
0000000180393b34 (__TEXT,__text) non-external __libkernel_strcmp
000000018039d548 (__TEXT,__text) non-external __libkernel_strcpy
00000001db73df00 (__DATA_DIRTY,__data) non-external __libkernel_string_functions
000000018039ddb4 (__TEXT,__text) non-external __libkernel_strlcpy
000000018039ce5c (__TEXT,__text) non-external __libkernel_strlen
00000001db73df08 (__DATA_DIRTY,__data) non-external __libkernel_voucher_functions
00000001803bf850 (__TEXT,__const) non-external __libkernel_voucher_functions_empty
000000018039f534 (__TEXT,__text) non-external __mach_continuous_time
00000001d420dbb0 (__DATA_CONST,__const) external __mach_errors
000000018039f838 (__TEXT,__text) external __mach_fork_child
000000018039fd50 (__TEXT,__text) external __mach_snprintf
000000018039fbc4 (__TEXT,__text) external __mach_vsnprintf
00000001db73df50 (__DATA_DIRTY,__common) external __os_alloc_once_table
00000001d9214c68 (__DATA,__common) external __os_xbs_chrooted
00000001803947a0 (__TEXT,__text) non-external __posix_spawn_file_actions_grow
000000018039d590 (__TEXT,__text) non-external __posix_spawn_with_filter
00000001803a143c (__TEXT,__text) external __register_gethostuuid_callback
000000018039d288 (__TEXT,__text) non-external __system_version_compat_check_path_suffix
000000018039d334 (__TEXT,__text) non-external __system_version_compat_open_shim
00000001db73e5ac (__DATA_DIRTY,__bss) non-external __task_reply_port
000000018039ce2c (__TEXT,__text) external __thread_set_tsd_base
00000001803bed3c (__TEXT,__text) non-external _abort
00000001803bed60 (__TEXT,__text) non-external _abort.561
00000001803bed84 (__TEXT,__text) non-external _abort.563
00000001803beda8 (__TEXT,__text) non-external _abort.580
00000001803bee78 (__TEXT,__text) external _abort_with_payload
00000001803bedec (__TEXT,__text) non-external _abort_with_payload_wrapper_internal
00000001803bedcc (__TEXT,__text) external _abort_with_reason
000000018039628c (__TEXT,__text) external _accept
000000018039a710 (__TEXT,__text) external _accept$NOCANCEL
000000018038e794 (__TEXT,__text) external _access
000000018039a73c (__TEXT,__text) external _accessx_np
000000018039b908 (__TEXT,__text) external _acct
00000001803badfc (__TEXT,__text) external _act_get_state
00000001803bb048 (__TEXT,__text) external _act_set_state
000000018039b934 (__TEXT,__text) external _adjtime
000000018039b960 (__TEXT,__text) external _aio_cancel
000000018039b98c (__TEXT,__text) external _aio_error
000000018039b9b8 (__TEXT,__text) external _aio_fsync
000000018039b9e4 (__TEXT,__text) external _aio_read
000000018039ba10 (__TEXT,__text) external _aio_return
000000018039ba3c (__TEXT,__text) external _aio_suspend
000000018039a768 (__TEXT,__text) external _aio_suspend$NOCANCEL
000000018039ba68 (__TEXT,__text) external _aio_write
000000018039ba94 (__TEXT,__text) external _audit
0000000180399314 (__TEXT,__text) external _audit_session_join
0000000180399174 (__TEXT,__text) external _audit_session_port
0000000180391fcc (__TEXT,__text) external _audit_session_self
000000018039bac0 (__TEXT,__text) external _auditctl
00000001803972cc (__TEXT,__text) external _auditon
00000001803956e8 (__TEXT,__text) external _bind
00000001db73df14 (__DATA_DIRTY,__common) external _bootstrap_port
000000018039ce3c (__TEXT,__text) non-external _bzero
000000018038f608 (__TEXT,__text) external _cerror
000000018038e728 (__TEXT,__text) external _cerror_nocancel
0000000180391f08 (__TEXT,__text) external _change_fdguard_np
000000018038f780 (__TEXT,__text) external _chdir
0000000180395c20 (__TEXT,__text) external _chflags
0000000180391974 (__TEXT,__text) external _chmod
00000001803956bc (__TEXT,__text) external _chown
000000018039baec (__TEXT,__text) external _chroot
00000001803aa0d8 (__TEXT,__text) external _clock_alarm
00000001803a9ea8 (__TEXT,__text) external _clock_alarm_reply
00000001803a9f10 (__TEXT,__text) external _clock_get_attributes
0000000180393440 (__TEXT,__text) external _clock_get_time
00000001803a9d50 (__TEXT,__text) external _clock_set_attributes
00000001803a9c34 (__TEXT,__text) external _clock_set_time
0000000180399bc8 (__TEXT,__text) external _clock_sleep
000000018038dde0 (__TEXT,__text) external _clock_sleep_trap
0000000180397a38 (__TEXT,__text) external _clonefile
0000000180392c64 (__TEXT,__text) external _clonefileat
000000018038e8f8 (__TEXT,__text) external _close
000000018038f5b0 (__TEXT,__text) external _close$NOCANCEL
00000001803a672c (__TEXT,__text) external _coalition_create
00000001803a679c (__TEXT,__text) external _coalition_info_resource_usage
00000001803a680c (__TEXT,__text) external _coalition_info_set_efficiency
00000001803a67d4 (__TEXT,__text) external _coalition_info_set_name
00000001803a6848 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
00000001803a676c (__TEXT,__text) external _coalition_reap
00000001803a673c (__TEXT,__text) external _coalition_terminate
0000000180392298 (__TEXT,__text) external _connect
0000000180392100 (__TEXT,__text) external _connect$NOCANCEL
000000018039231c (__TEXT,__text) external _connectx
000000018038f900 (__TEXT,__text) external _csops
000000018038e6fc (__TEXT,__text) external _csops_audittoken
